"시도별","요양기관종별","입원·외래별","항목","단위","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년",
"서울특별시","계","계","급여비[천원]","천원","182250487","193056522","200406399","218303723","244780673","262819799","280100763","326518050","414935633","473931020","553786684","630665970","700050112","828607503","825762061","885007947",
"서울특별시","계","치과입원","청구건수[건]","건","5355","6236","6211","6624","6859","7116","6739","7408","8593","8391","8406","8760","10435","10551","10178","10645",
"서울특별시","계","치과입원","내원일수[일]","일","27760","34427","32136","34691","32473","31097","29682","32797","32727","29704","27529","30513","43283","41800","37208","39164",
"서울특별시","계","치과입원","요양급여비용[천원]","천원","4595294","6272692","6019216","6468715","6492061","6604907","6517060","6623980","7704139","7935861","8382869","10300673","12502806","13383189","14072294","16135359",
"서울특별시","계","치과입원","급여비[천원]","천원","3717466","5098734","4858647","5209354","5264308","5403107","5334106","5459181","6352182","6564745","6852940","8317662","10134147","10839261","11394379","13067382",
"서울특별시","계","치과외래","청구건수[건]","건","8232850","10090079","12202596","12640495","13071425","13239578","13746462","14205387","15975224","16562423","17133161","17935499","18024468","19113539","18259495","19038884",
"서울특별시","계","치과외래","내원일수[일]","일","12275603","12555676","12615042","13069903","13480492","13677828","13764844","14184962","15953575","16514138","17050926","17824958","17894256","18959952","18081555","18863835",
"서울특별시","계","치과외래","요양급여비용[천원]","천원","261600358","275098722","284042386","309897104","348319143","376138354","401384979","472164449","604473118","707822217","853357676","977683384","1017280220","1172597961","1167769880","1250425526",
"서울특별시","계","치과외래","급여비[천원]","천원","178533021","187957789","195547752","213094369","239516365","257416692","274766657","321058869","408583452","467366275","546933744","622348308","689915966","817768242","814367683","871940564",
"서울특별시","상급종합병원","계","청구건수[건]","건","123339","141205","131281","148147","171789","217937","280527","284170","290539","257706","283923","263987","246622","230259","211948","238327",
"서울특별시","상급종합병원","계","내원일수[일]","일","214147","239928","221343","241615","259114","328271","294415","290671","299388","265594","291601","272519","253544","236655","216729","247701",
"서울특별시","상급종합병원","계","요양급여비용[천원]","천원","9830795","11109771","10529144","11358766","11729142","14156960","12812512","13661701","15253355","14371195","16775508","18774867","19546770","20015063","20503269","23718629",
"서울특별시","상급종합병원","계","급여비[천원]","천원","4613673","5131941","5021093","5241209","4989882","5594451","4995959","5404455","6194109","5938306","6983832","8288837","9287984","10139253","10813451","12527181",
"서울특별시","상급종합병원","치과입원","청구건수[건]","건","3263","3209","3522","3448","3308","2982","2799","2564","3125","2459","2599","2722","2855","3047","3500","4100",
"서울특별시","상급종합병원","치과입원","내원일수[일]","일","17050","17049","18019","17781","17104","15341","13101","12361","13841","11443","11204","12351","11253","11062","11519","15266",
"서울특별시","상급종합병원","치과입원","요양급여비용[천원]","천원","3027617","3221737","3401839","3696544","3655757","3450471","3057791","3039118","3441045","3205798","3653025","4706493","5172360","5870054","6945736","8182452",
"서울특별시","상급종합병원","치과입원","급여비[천원]","천원","2427317","2565377","2702140","2954548","2925003","2782928","2451069","2464712","2780613","2621844","2960050","3741358","4164224","4727206","5578725","6593610",
"서울특별시","상급종합병원","치과외래","청구건수[건]","건","120076","137996","127759","144699","168481","214955","277728","281606","287414","255247","281324","261265","243767","227212","208448","234227",
"서울특별시","상급종합병원","치과외래","내원일수[일]","일","197097","222879","203324","223834","242010","312930","281314","278310","285547","254151","280397","260168","242291","225593","205210","232435",
"서울특별시","상급종합병원","치과외래","요양급여비용[천원]","천원","6803178","7888034","7127305","7662222","8073385","10706488","9754721","10622583","11812310","11165397","13122483","14068374","14374410","14145010","13557533","15536177",
"서울특별시","상급종합병원","치과외래","급여비[천원]","천원","2186356","2566564","2318952","2286660","2064878","2811522","2544890","2939744","3413496","3316462","4023782","4547479","5123760","5412046","5234726","5933571",
"서울특별시","종합병원","계","청구건수[건]","건","81474","85693","89773","113752","123407","120564","182555","161757","172901","201176","206124","205570","206245","218876","203305","179150",
"서울특별시","종합병원","계","내원일수[일]","일","130236","136117","141923","181964","182032","171355","189518","163825","174356","203356","207593","206801","209235","220407","202716","177955",
"서울특별시","종합병원","계","요양급여비용[천원]","천원","3559179","3904805","4117056","5468479","5657571","5440196","6304438","6263778","7972312","10608228","14706199","17553409","17857609","17916561","16542579","14902575",
"서울특별시","종합병원","계","급여비[천원]","천원","1879236","2089617","2190385","2891254","3016538","2929380","3378886","3324258","4214111","5531874","7652242","9075053","10439092","11020143","10066802","9020811",
"서울특별시","종합병원","치과입원","청구건수[건]","건","369","445","462","797","943","1171","1167","1118","1313","1469","1284","1295","1434","1171","1337","734",
"서울특별시","종합병원","치과입원","내원일수[일]","일","2959","2964","3277","6269","5199","4802","4885","3566","3732","4725","4465","4479","6144","4419","2804","2141",
"서울특별시","종합병원","치과입원","요양급여비용[천원]","천원","323697","463891","451572","676867","612266","640887","728146","596390","707421","944368","996546","1103485","1827228","1583255","1090909","656658",
"서울특별시","종합병원","치과입원","급여비[천원]","천원","256839","363413","347757","519257","469165","503180","563427","464876","546825","720935","758549","816082","1383572","1206973","825492","479074",
"서울특별시","종합병원","치과외래","청구건수[건]","건","81105","85248","89311","112955","122464","119393","181388","160639","171588","199707","204840","204275","204811","217705","201968","178416",
"서울특별시","종합병원","치과외래","내원일수[일]","일","127277","133153","138646","175695","176833","166553","184633","160259","170624","198631","203128","202322","203091","215988","199912","175814",
"서울특별시","종합병원","치과외래","요양급여비용[천원]","천원","3235482","3440914","3665483","4791613","5045305","4799309","5576292","5667388","7264891","9663859","13709652","16449925","16030382","16333306","15451670","14245918",
"서울특별시","종합병원","치과외래","급여비[천원]","천원","1622397","1726204","1842627","2371997","2547373","2426200","2815459","2859382","3667286","4810939","6893693","8258971","9055520","9813170","9241310","8541737",
"서울특별시","병원","계","청구건수[건]","건","3289","1984","2180","3796","5580","5991","9357","13122","14744","11838","22150","24114","25284","38257","39771","52375",
"서울특별시","병원","계","내원일수[일]","일","7609","3525","3392","5333","7278","7833","9692","12987","14544","11494","21605","23564","34409","46626","47496","59013",
"서울특별시","병원","계","요양급여비용[천원]","천원","113691","60361","62838","106378","138604","156091","222883","335810","414741","331532","729226","930740","1101835","1973235","2138992","2917164",
"서울특별시","병원","계","급여비[천원]","천원","68230","36308","38776","66291","87059","98221","137621","206952","257763","208179","446989","560534","690715","1289604","1398702","1948782",
"서울특별시","병원","치과입원","청구건수[건]","건","-","-","-","-","103","126","127","134","200","350","544","481","746","747","494","362",
"서울특별시","병원","치과입원","내원일수[일]","일","-","-","-","-","-","-","-","","-","10","24","22","10002","9352","8439","7203",
"서울특별시","병원","치과입원","요양급여비용[천원]","천원","-","-","-","-","2014","2291","4555","2542","6139","12726","21112","20686","24540","25170","15905","16117",
"서울특별시","병원","치과입원","급여비[천원]","천원","-","-","-","-","1629","1864","3073","2080","4944","9675","16686","15145","19956","20449","13021","12865",
"서울특별시","병원","치과외래","청구건수[건]","건","3289","1984","2180","3796","5477","5865","9230","12988","14544","11488","21606","23633","24538","37510","39277","52013",
"서울특별시","병원","치과외래","내원일수[일]","일","7609","3525","3392","5333","7278","7833","9692","12987","14544","11484","21581","23542","24407","37274","39057","51810",
"서울특별시","병원","치과외래","요양급여비용[천원]","천원","113691","60361","62838","106378","136590","153800","218327","333268","408602","318806","708114","910053","1077295","1948064","2123086","2901047",
"서울특별시","병원","치과외래","급여비[천원]","천원","68230","36308","38776","66291","85430","96357","134547","204872","252819","198503","430304","545389","670759","1269155","1385681","1935917",
"서울특별시","요양병원","계","청구건수[건]","건","","","","","","","-","","482","1245","2099","4234","4941","5191","4592","4442",
"서울특별시","요양병원","계","내원일수[일]","일","","","","","","","-","","255","321","1378","4154","5244","6255","4509","3390",
"서울특별시","요양병원","계","요양급여비용[천원]","천원","","","","","","","-","","20471","57026","114188","231351","264691","367306","308093","259476",
"서울특별시","요양병원","계","급여비[천원]","천원","","","","","","","-","","13070","34767","70845","151037","185752","262702","216184","181100",
"서울특별시","요양병원","치과입원","청구건수[건]","건","","","","","","","-","","223","919","734","942","1174","1436","1064","1035",
"서울특별시","요양병원","치과입원","내원일수[일]","일","","","","","","","-","","-","-","26","886","1497","2519","999","-",
"서울특별시","요양병원","치과입원","요양급여비용[천원]","천원","","","","","","","-","","8016","40472","40358","66591","81733","131760","79657","71161",
"서울특별시","요양병원","치과입원","급여비[천원]","천원","","","","","","","-","","6118","25694","25774","49706","66543","104052","63443","56343",
"서울특별시","요양병원","치과외래","청구건수[건]","건","","","","","","","-","","259","326","1365","3292","3767","3755","3528","3407",
"서울특별시","요양병원","치과외래","내원일수[일]","일","","","","","","","-","","255","321","1352","3268","3747","3736","3510","3390",
"서울특별시","요양병원","치과외래","요양급여비용[천원]","천원","","","","","","","-","","12456","16554","73831","164760","182958","235545","228436","188315",
"서울특별시","요양병원","치과외래","급여비[천원]","천원","","","","","","","-","","6952","9073","45071","101331","119209","158650","152742","124757",
"서울특별시","정신병원","계","청구건수[건]","건","","","","","","","","","","","","","","","","86",
"서울특별시","정신병원","계","내원일수[일]","일","","","","","","","","","","","","","","","","74",
"서울특별시","정신병원","계","요양급여비용[천원]","천원","","","","","","","","","","","","","","","","2488",
"서울특별시","정신병원","계","급여비[천원]","천원","","","","","","","","","","","","","","","","1595",
"서울특별시","정신병원","치과입원","청구건수[건]","건","","","","","","","","","","","","","","","","12",
"서울특별시","정신병원","치과입원","내원일수[일]","일","","","","","","","","","","","","","","","","-",
"서울특별시","정신병원","치과입원","요양급여비용[천원]","천원","","","","","","","","","","","","","","","","400",
"서울특별시","정신병원","치과입원","급여비[천원]","천원","","","","","","","","","","","","","","","","320",
"서울특별시","정신병원","치과외래","청구건수[건]","건","","","","","","","","","","","","","","","","74",
"서울특별시","정신병원","치과외래","내원일수[일]","일","","","","","","","","","","","","","","","","74",
"서울특별시","정신병원","치과외래","요양급여비용[천원]","천원","","","","","","","","","","","","","","","","2088",
"서울특별시","정신병원","치과외래","급여비[천원]","천원","","","","","","","","","","","","","","","","1275",
"서울특별시","치과병원","계","청구건수[건]","건","448473","508067","547744","564162","607957","698066","881574","865444","982503","1170655","1089120","1119456","1152995","1192011","1093743","1145206",
"서울특별시","치과병원","계","내원일수[일]","일","696646","803103","842782","858858","895161","997525","902774","867914","991409","1172966","1093826","1122158","1144958","1192051","1093199","1144360",
"서울특별시","치과병원","계","요양급여비용[천원]","천원","20721761","25158753","26320067","27525288","30199984","36032896","34192997","36250394","45472622","58832661","64767293","73421738","78760559","88335166","84975307","92428690",
"서울특별시","치과병원","계","급여비[천원]","천원","12768983","15806601","16518101","17234836","18938335","22640857","21558179","22932139","28623635","36345657","39241475","44010372","49186289","56904175","54721701","59529112",
"서울특별시","치과병원","치과입원","청구건수[건]","건","1723","2582","2227","2379","2505","2837","2646","3592","3732","3169","3233","3304","4200","4138","3647","3923",
"서울특별시","치과병원","치과입원","내원일수[일]","일","7751","14414","10840","10641","10170","10954","11696","16870","15154","13483","11801","12758","14358","14438","13311","14063",
"서울특별시","치과병원","치과입원","요양급여비용[천원]","천원","1243981","2587064","2165805","2095304","2222024","2511258","2726568","2985931","3541518","3711971","3662752","4394654","5374976","5765334","5904127","7074304",
"서울특별시","치과병원","치과입원","급여비[천원]","천원","1033311","2169943","1808750","1735548","1868510","2115134","2316537","2527513","3013681","3170260","3084684","3688386","4482595","4774517","4885018","5818030",
"서울특별시","치과병원","치과외래","청구건수[건]","건","446750","505485","545517","561783","605452","695229","878928","861852","978771","1167486","1085887","1116152","1148795","1187873","1090096","1141283",
"서울특별시","치과병원","치과외래","내원일수[일]","일","688895","788689","831942","848217","884991","986571","891078","851044","976255","1159483","1082025","1109400","1130600","1177613","1079888","1130297",
"서울특별시","치과병원","치과외래","요양급여비용[천원]","천원","19477780","22571688","24154262","25429984","27977960","33521638","31466429","33264463","41931103","55120690","61104541","69027084","73385582","82569832","79071180","85354385",
"서울특별시","치과병원","치과외래","급여비[천원]","천원","11735672","13636658","14709351","15499288","17069825","20525723","19241642","20404625","25609954","33175397","36156791","40321986","44703693","52129657","49836683","53711082",
"서울특별시","치과의원","계","청구건수[건]","건","7535574","9317009","11388834","11758487","12123427","12164971","12359730","12888302","14522648","14926828","15536076","16325002","16398190","17439496","16716314","17429943",
"서울특별시","치과의원","계","내원일수[일]","일","11208669","11365073","11388743","11758049","12123256","12164420","12358546","12882362","14506350","14888752","15460392","16224401","16289539","17299758","16554114","17270506",
"서울특별시","치과의원","계","요양급여비용[천원]","천원","231792711","240970761","248838661","271669260","306896371","326769841","354192367","422276747","543043756","631503154","764551798","876961592","912205286","1057373819","1057373935","1132331863",
"서울특별시","치과의원","계","급여비[천원]","천원","162789274","169867581","176493440","192690536","217603397","231415943","249894322","294650246","375632944","425840737","499336393","568518123","630232759","748991627","748545222","801799366",
"서울특별시","치과의원","치과입원","청구건수[건]","건","-","-","-","-","-","-","-","","-","25","12","16","26","12","136","479",
"서울특별시","치과의원","치과입원","내원일수[일]","일","-","-","-","-","-","-","-","","-","43","9","17","29","10","136","491",
"서울특별시","치과의원","치과입원","요양급여비용[천원]","천원","-","-","-","-","-","-","-","","-","20526","9076","8763","21969","7616","35960","134267",
"서울특별시","치과의원","치과입원","급여비[천원]","천원","-","-","-","-","-","-","-","","-","16336","7198","6986","17257","6064","28680","107141",
"서울특별시","치과의원","치과외래","청구건수[건]","건","7535574","9317009","11388834","11758487","12123427","12164971","12359730","12888302","14522648","14926803","15536064","16324986","16398164","17439484","16716178","17429464",
"서울특별시","치과의원","치과외래","내원일수[일]","일","11208669","11365073","11388743","11758049","12123256","12164420","12358546","12882362","14506350","14888709","15460383","16224384","16289510","17299748","16553978","17270015",
"서울특별시","치과의원","치과외래","요양급여비용[천원]","천원","231792711","240970761","248838661","271669260","306896371","326769841","354192367","422276747","543043756","631482628","764542721","876952828","912183316","1057366204","1057337976","1132197596",
"서울특별시","치과의원","치과외래","급여비[천원]","천원","162789274","169867581","176493440","192690536","217603397","231415943","249894322","294650246","375632944","425824401","499329195","568511138","630215502","748985563","748516542","801692226",
"서울특별시","보건기관","계","청구건수[건]","건","46056","42357","48995","58775","46124","38394","39230","","-","-","-","-","-","-","-","-",
"서울특별시","보건기관","계","내원일수[일]","일","46056","42357","48995","58775","46124","38394","39230","","-","-","-","-","-","-","-","-",
"서울특별시","보건기관","계","요양급여비용[천원]","천원","177515","166963","193837","237648","189532","161736","168025","","-","-","-","-","-","-","-","-",
"서울특별시","보건기관","계","급여비[천원]","천원","131092","124474","144605","179597","145462","125566","130493","","-","-","-","-","-","-","-","-",
"서울특별시","보건기관","치과입원","청구건수[건]","건","-","-","-","-","-","-","-","","-","-","-","-","-","-","-","-",
"서울특별시","보건기관","치과입원","내원일수[일]","일","-","-","-","-","-","-","-","","-","-","-","-","-","-","-","-",
"서울특별시","보건기관","치과입원","요양급여비용[천원]","천원","-","-","-","-","-","-","-","","-","-","-","-","-","-","-","-",
"서울특별시","보건기관","치과입원","급여비[천원]","천원","-","-","-","-","-","-","-","","-","-","-","-","-","-","-","-",
"서울특별시","보건기관","치과외래","청구건수[건]","건","46056","42357","48995","58775","46124","38394","39230","","-","-","-","-","-","-","-","-",
"서울특별시","보건기관","치과외래","내원일수[일]","일","46056","42357","48995","58775","46124","38394","39230","","-","-","-","-","-","-","-","-",
"서울특별시","보건기관","치과외래","요양급여비용[천원]","천원","177515","166963","193837","237648","189532","161736","168025","","-","-","-","-","-","-","-","-",
"서울특별시","보건기관","치과외래","급여비[천원]","천원","131092","124474","144605","179597","145462","125566","130493","","-","-","-","-","-","-","-","-",
"서울특별시","한방병원","계","청구건수[건]","건","","","","","","771","228","","-","1366","2075","1896","626","-","-","-",
"서울특별시","한방병원","계","내원일수[일]","일","","","","","","1127","351","","-","1359","2060","1874","610","-","-","-",
"서울특별시","한방병원","계","요양급여비용[천원]","천원","","","","","","25542","8818","","-","54282","96334","110360","46276","-","-","-",
"서울특별시","한방병원","계","급여비[천원]","천원","","","","","","15382","5304","","-","31501","54909","62013","27521","-","-","-",
"서울특별시","한방병원","치과입원","청구건수[건]","건","","","","","","-","-","","-","-","-","-","-","-","-","-",
"서울특별시","한방병원","치과입원","내원일수[일]","일","","","","","","-","-","","-","-","-","-","-","-","-","-",
"서울특별시","한방병원","치과입원","요양급여비용[천원]","천원","","","","","","-","-","","-","-","-","-","-","-","-","-",
"서울특별시","한방병원","치과입원","급여비[천원]","천원","","","","","","-","-","","-","-","-","-","-","-","-","-",
"서울특별시","한방병원","치과외래","청구건수[건]","건","","","","","","771","228","","-","1366","2075","1896","626","-","-","-",
"서울특별시","한방병원","치과외래","내원일수[일]","일","","","","","","1127","351","","-","1359","2060","1874","610","-","-","-",
"서울특별시","한방병원","치과외래","요양급여비용[천원]","천원","","","","","","25542","8818","","-","54282","96334","110360","46276","-","-","-",
"서울특별시","한방병원","치과외래","급여비[천원]","천원","","","","","","15382","5304","","-","31501","54909","62013","27521","-","-","-",
"부산광역시","계","계","청구건수[건]","건","2756764","3332993","4073725","4167279","4089024","4025343","4061867","4204560","4510573","4845400","4986703","5177571","5286360","5575305","5390139","5627074",
"부산광역시","계","계","내원일수[일]","일","4284445","4241130","4200777","4286795","4194074","4133940","4075015","4210739","4511520","4840544","4968385","5147926","5252582","5530670","5343363","5577708",
"부산광역시","계","계","요양급여비용[천원]","천원","89216075","90584710","92074503","98017389","101545596","106438135","112304878","134150149","164917943","202588753","250691076","288142131","309894688","353555167","349675368","375589302",
"부산광역시","계","계","급여비[천원]","천원","61316872","62262542","63511195","67657190","70692244","73991234","77523817","91218160","111097155","133077070","158889326","181007948","211220268","247720313","244878997","263084388",
"부산광역시","계","치과입원","청구건수[건]","건","1343","1477","1753","1569","1286","1551","1687","2021","2294","2258","2227","2129","2362","2552","2477","2043",
"부산광역시","계","치과입원","내원일수[일]","일","15190","14299","17139","11862","10101","9163","9044","9857","7824","8292","6634","4108","5876","4067","4291","4070",
"부산광역시","계","치과입원","요양급여비용[천원]","천원","1395223","1499768","1471857","1398476","1054388","1137070","1104125","1085681","1051885","1140044","1130070","1167362","1263987","1599425","1723208","1722798",
"부산광역시","계","치과입원","급여비[천원]","천원","1118238","1190475","1136861","1077874","810474","877191","836095","817866","798307","877149","860853","859639","957371","1194089","1279170","1282989",
"부산광역시","계","치과외래","청구건수[건]","건","2755421","3331516","4071972","4165710","4087738","4023792","4060180","4202539","4508279","4843142","4984476","5175442","5283998","5572753","5387662","5625031",
"부산광역시","계","치과외래","내원일수[일]","일","4269255","4226831","4183638","4274933","4183973","4124777","4065971","4200882","4503696","4832252","4961751","5143818","5246706","5526603","5339072","5573638",
"부산광역시","계","치과외래","요양급여비용[천원]","천원","87820852","89084942","90602646","96618913","100491208","105301065","111200753","133064469","163866058","201448710","249561006","286974769","308630702","351955742","347952161","373866505",
"부산광역시","계","치과외래","급여비[천원]","천원","60198634","61072067","62374334","66579316","69881770","73114043","76687722","90400294","110298848","132199921","158028473","180148310","210262897","246526225","243599828","261801399",
"부산광역시","상급종합병원","계","청구건수[건]","건","47684","54549","56936","54801","22077","24713","44536","49951","47288","46814","45742","43852","43099","40679","40702","41158",
"부산광역시","상급종합병원","계","내원일수[일]","일","81150","90515","95093","91348","38562","43686","48928","53108","50882","49738","48071","45615","44715","42569","42707","42864",
"부산광역시","상급종합병원","계","요양급여비용[천원]","천원","4062089","4615625","4798759","4736213","2345129","2449584","2549806","2778278","2822860","3045056","3272746","3590426","3761233","4134783","4352989","4503896",
"부산광역시","상급종합병원","계","급여비[천원]","천원","1995060","2235134","2261273","2154497","1092296","1116434","1097126","1146396","1195333","1331792","1451348","1575285","1742848","2044237","2189154","2255974",
"부산광역시","상급종합병원","치과입원","청구건수[건]","건","1063","1202","1400","1347","719","838","834","921","1052","898","913","997","938","971","1137","1133",
"부산광역시","상급종합병원","치과입원","내원일수[일]","일","8966","9175","8537","8208","4653","4764","4194","4083","4953","3906","3301","2843","2654","2986","3285","3042",
"부산광역시","상급종합병원","치과입원","요양급여비용[천원]","천원","1280570","1406261","1387157","1328683","867296","881416","832925","783179","778720","860937","808458","844543","885981","1193345","1338801","1405922",
"부산광역시","상급종합병원","치과입원","급여비[천원]","천원","1027940","1116898","1071502","1024160","665620","676333","628659","590038","591699","671663","640699","639092","677696","895023","998850","1052409",
"부산광역시","상급종합병원","치과외래","청구건수[건]","건","46621","53347","55536","53454","21358","23875","43702","49030","46236","45916","44829","42855","42161","39708","39565","40025",
"부산광역시","상급종합병원","치과외래","내원일수[일]","일","72184","81340","86556","83140","33909","38922","44734","49025","45929","45832","44770","42772","42061","39583","39422","39822",
"부산광역시","상급종합병원","치과외래","요양급여비용[천원]","천원","2781520","3209363","3411602","3407529","1477833","1568169","1716881","1995099","2044140","2184118","2464288","2745883","2875251","2941437","3014188","3097974",
"부산광역시","상급종합병원","치과외래","급여비[천원]","천원","967120","1118236","1189771","1130337","426676","440101","468467","556357","603634","660128","810649","936193","1065152","1149214","1190304","1203565",
"부산광역시","종합병원","계","청구건수[건]","건","40121","41801","44447","47599","56331","59290","102712","102494","107340","102385","101908","101691","93894","93330","83464","84026",
"부산광역시","종합병원","계","내원일수[일]","일","79308","80493","88397","86147","94152","97413","108414","105051","107848","103107","102084","101140","93759","92398","83392","83803",
"부산광역시","종합병원","계","요양급여비용[천원]","천원","2029816","2123725","2239576","2337149","2858187","3084267","3445812","3788541","4381277","4555328","5820712","6717684","6523468","6662159","6028770","5936918",
"부산광역시","종합병원","계","급여비[천원]","천원","1049342","1091726","1151146","1199114","1495455","1633716","1815175","1992124","2284015","2366557","2994488","3439692","3795774","4068606","3655120","3555997",
"부산광역시","종합병원","치과입원","청구건수[건]","건","280","275","353","222","465","575","584","708","766","689","650","748","788","627","496","395",
"부산광역시","종합병원","치과입원","내원일수[일]","일","6224","5124","8602","3654","4667","3611","3528","3275","1389","1600","1125","819","1153","1076","974","809",
"부산광역시","종합병원","치과입원","요양급여비용[천원]","천원","114653","93506","84701","69793","183025","250723","254481","281976","253798","250936","267611","289157","301353","288336","256989","244960",
"부산광역시","종합병원","치과입원","급여비[천원]","천원","90298","73577","65359","53713","141600","196913","197010","213093","191293","183823","187129","199853","224253","212332","186236","178439",
"부산광역시","종합병원","치과외래","청구건수[건]","건","39841","41526","44094","47377","55866","58715","102128","101786","106574","101696","101258","100943","93106","92703","82968","83631",
"부산광역시","종합병원","치과외래","내원일수[일]","일","73084","75369","79795","82493","89485","93802","104886","101776","106459","101507","100959","100321","92606","91322","82418","82994",
"부산광역시","종합병원","치과외래","요양급여비용[천원]","천원","1915163","2030219","2154875","2267355","2675162","2833544","3191330","3506566","4127479","4304392","5553101","6428527","6222116","6373823","5771781","5691959",
"부산광역시","종합병원","치과외래","급여비[천원]","천원","959045","1018149","1085787","1145401","1353855","1436803","1618165","1779031","2092722","2182734","2807359","3239839","3571521","3856274","3468884","3377557",
"부산광역시","병원","계","청구건수[건]","건","-","-","-","-","2029","3854","12550","14351","17795","18545","14203","13339","10500","15583","15677","14076",
"부산광역시","병원","계","내원일수[일]","일","-","-","-","-","4068","7575","13770","16477","18778","20659","15817","13373","10126","14812","14965","13470",
"부산광역시","병원","계","요양급여비용[천원]","천원","-","-","-","-","85166","187766","398233","493043","661208","719639","761486","930431","745829","1085379","1144487","1101091",
"부산광역시","병원","계","급여비[천원]","천원","-","-","-","-","52094","114083","239883","296058","396125","425454","429316","510139","467046","712471","751901","729647",
"부산광역시","병원","치과입원","청구건수[건]","건","-","-","-","-","102","138","269","371","476","599","516","300","402","448","340","228",
"부산광역시","병원","치과입원","내원일수[일]","일","-","-","-","-","781","788","1322","2499","1482","2763","2208","446","154","-","29","7",
"부산광역시","병원","치과입원","요양급여비용[천원]","천원","-","-","-","-","4067","4932","16718","20341","19367","26905","51792","32610","46618","43451","51182","38853",
"부산광역시","병원","치과입원","급여비[천원]","천원","-","-","-","-","3254","3945","10426","14586","15315","20648","31253","19852","33579","32342","38132","28159",
"부산광역시","병원","치과외래","청구건수[건]","건","-","-","-","-","1927","3716","12281","13980","17319","17946","13687","13039","10098","15135","15337","13848",
"부산광역시","병원","치과외래","내원일수[일]","일","-","-","-","-","3287","6787","12448","13978","17296","17896","13609","12927","9972","14812","14936","13463",
"부산광역시","병원","치과외래","요양급여비용[천원]","천원","-","-","-","-","81099","182834","381515","472702","641841","692734","709694","897821","699212","1041928","1093305","1062238",
"부산광역시","병원","치과외래","급여비[천원]","천원","-","-","-","-","48840","110138","229456","281472","380810","404805","398063","490288","433467","680129","713769","701489",
"부산광역시","요양병원","계","청구건수[건]","건","","","","","","","-","945","429","383","780","732","1024","1505","1262","589",
"부산광역시","요양병원","계","내원일수[일]","일","","","","","","","-","921","427","313","630","648","2703","1002","756","507",
"부산광역시","요양병원","계","요양급여비용[천원]","천원","","","","","","","-","31885","18988","22383","50797","32632","80137","149030","129557","51361",
"부산광역시","요양병원","계","급여비[천원]","천원","","","","","","","-","18876","11338","12481","27403","17957","55046","103650","90592","35996",
